order,Klebsiella,Enterobacter,Acinetobacter,Candida,Moraxella,Chryseobacterium,Pseudomonas,Pantoea,Roseomonas,Kocuria,Aeromonas,Malassezia,Stenotrophomonas,Streptomyces,Cyberlindnera,Escherichia,Paracoccus,Sphingomonas,Microbacterium,Actinomyces,Dermacoccus,Xanthomonas,Mycolicibacterium,Mycobacterium,Corynebacterium,Burkholderia,Dyella,Citrobacter,Pluralibacter,Brachybacterium,Rhizobium,Salmonella,Kluyvera,Lactobacillus,Sphingobium,Staphylococcus,Halomonas,Exophiala,Cutibacterium,Weissella,Bradyrhizobium,Sphingobacterium,Brevibacterium,Clavispora,Pseudoxanthomonas,Serratia,Lysobacter,Arthrobacter,Brevundimonas,Rhodobacter,Gordonia,Bacillus,Cupriavidus,Micrococcus,Achromobacter,Massilia,Haematobacter,Streptococcus,Leclercia,Paraburkholderia,Ochrobactrum,Vibrio,Agrobacterium,Empedobacter,Comamonas,Raoultella,Shewanella,Methylobacterium,Cronobacter,Leuconostoc,Acidipropionibacterium,Cloacibacterium,Baekduia,Rhodococcus,Nocardioides,Variovorax,Deinococcus,Novosphingobium,Mesorhizobium,Kushneria,Serinicoccus,Azorhizobium,Bordetella,Micromonospora,Pediococcus,Mixta,Azospirillum,Phytobacter,Pectobacterium,Macrococcus,Mycobacteroides,Kosakonia,Mameliella,Curtobacterium,Miniimonas,Janibacter,Luteimonas,Erwinia,Kiritimatiella,Acidovorax,Salinicola,Cellulomonas,Glutamicibacter,Pandoraea,Aspergillus,Sphingopyxis,Nocardia,Pseudarthrobacter,Shigella,Elizabethkingia,Rothia,Propionibacterium,Dietzia,Clostridium,Clavibacter,Sinorhizobium,Lactococcus,Aquitalea,Kurthia,Herbaspirillum,Luteibacter,Lodderomyces,Bosea,Psychrobacter,Paenibacillus,Caulobacter,Exiguobacterium,Flavobacterium,Xanthobacter,Azospira,Starkeya,Amycolatopsis,Ralstonia,Dickeya,Ancylobacter,Nakamurella,Rhodanobacter,Ensifer,Lelliottia,Rathayibacter,Enterococcus,Neorhizobium,Actinoplanes,Pseudonocardia,Stella,Aerococcus,Hylemonella,Neisseria,Ottowia,Actinomadura,Tessaracoccus,Agromyces,Rhodopseudomonas,Isoptericola,Ornithinimicrobium,Kytococcus,Celeribacter,Rahnella,Dokdonella,Methylorubrum,Geobacillus,Yangia,Sanguibacter,Thermomonas,Luteimicrobium,Hydrogenophaga,Fusarium,Rhodovulum,Delftia,Polymorphum,Aeromicrobium,Citricoccus,Yersinia,Bifidobacterium,Prevotella,Sinomonas,Frankia,Arachidicoccus,Kitasatospora,Chromobacterium,Nocardiopsis,Leisingera,Azoarcus,Roseovarius,Pseudoalteromonas,Aquimarina,Tsukamurella,Anoxybacillus,Altererythrobacter,Janthinobacterium,Schaalia,Sulfitobacter,Leifsonia,Cellulosimicrobium,Metschnikowia,Georgenia,Brenneria,Stappia,Nesterenkonia,Defluviimonas
Primates,0.5754,0.519,0.5874,0.4139,0.2886,0.3762,0.4853,0.4686,0.2826,0.4427,0.4503,0.5187,0.2281,0.2712,0.4173,0.5838,-0.0449,0.3605,0.2061,0.2809,0.2704,-0.0502,0.2934,0.3829,0.5468,0.3159,-0.2684,0.5286,0.381,-0.0212,0.2835,0.5496,0.4319,0.6017,0.2097,0.5724,0.4239,0.6317,0.7725,0.4895,0.3337,0.6689,0.4964,0.2794,-0.3807,0.6259,-0.0042,0.1564,0.5877,-0.5471,-0.2684,0.6697,0.1307,0.4897,0.4009,0.4942,-0.2236,0.6929,0.5127,-0.0138,-0.152,0.5805,0.376,0.1909,0.4628,0.4603,0.5817,0.4939,0.4047,0.2209,-0.2541,0.0838,0.5224,0.0632,-0.1899,-0.0855,-0.0712,0.0878,-0.2378,0.2676,-0.2589,-0.1652,-0.2954,-0.2482,0.1719,0.2649,0.067,0.3257,0.3867,0.2662,-0.0432,0.4898,-0.0908,-0.1679,-0.2375,-0.1513,-0.5572,0.3933,-0.0832,0.0712,0.3065,-0.3875,-0.1364,-0.3807,0.631,-0.4315,-0.32,-0.1924,0.4458,-0.0804,0.2659,-0.1307,-0.058,0.2859,-0.2916,-0.5392,0.2229,0.3151,0.3543,0.0095,-0.0494,0.1042,-0.5701,0.2606,0.5898,-0.31,0.2063,0.0913,-0.292,-0.0294,-0.4952,-0.3736,-0.2832,0.0516,-0.3199,0.1109,-0.3129,-0.5836,0.4201,-0.3128,0.1048,-0.3535,-0.4196,-0.3908,-0.3716,0.2352,0.2693,0.1057,-0.2574,-0.3381,-0.316,-0.3446,-0.5276,-0.1714,-0.3782,-0.0977,-0.3992,0.3609,-0.2083,-0.4442,0.086,-0.3889,-0.2953,-0.357,-0.0547,-0.5574,-0.3046,-0.3743,-0.1056,-0.4041,-0.3664,-0.1964,0.3367,-0.1505,0.0367,-0.2289,-0.4785,-0.1768,-0.4652,-0.5086,-0.4397,-0.3845,-0.5853,-0.4695,0.2286,-0.0217,-0.2841,0.298,-0.529,-0.5241,-0.061,-0.4945,-0.2974,-0.2883,0.0069,-0.2947,0.0475,-0.1548,0.0031,-0.2957
Artiodactyla,0.6472,0.6245,0.6754,0.4683,0.2215,0.2693,0.5933,0.5615,0.3017,0.4062,0.4724,0.4989,0.1769,0.3193,0.4327,0.7077,0.0061,0.3735,0.1217,0.0927,0.1098,-0.0078,0.254,0.3007,0.4841,0.2688,-0.2048,0.6736,0.5594,-0.0615,0.4493,0.6982,0.496,0.6864,0.2469,0.5873,0.5948,0.7455,0.5612,0.684,0.3519,0.6751,0.3731,0.4353,-0.2913,0.6528,0.0499,0.1244,0.5196,-0.5493,-0.3689,0.7378,0.1663,0.3436,0.4477,0.5205,-0.3836,0.7564,0.7082,0.0877,-0.0493,0.6985,0.566,0.266,0.3979,0.597,0.7234,0.5891,0.675,0.3584,-0.4058,0.0258,0.4892,0.0443,-0.1561,0.0245,0.0351,0.1083,-0.1293,0.4788,-0.3453,-0.1734,-0.1381,-0.2487,0.3541,0.451,0.1838,0.4064,0.6653,0.3806,-0.2187,0.6001,-0.1584,-0.3059,-0.4527,-0.3158,-0.5943,0.6298,0.0089,0.2466,0.4766,-0.5429,-0.2508,-0.5114,0.6729,-0.3419,-0.4329,-0.2989,0.5181,-0.2622,0.1099,-0.3403,-0.3702,0.2738,-0.4729,-0.473,0.2844,0.2689,0.4247,-0.0704,0.0421,-0.0115,-0.6122,0.2874,0.6793,-0.3392,0.1872,0.0277,-0.3847,-0.1554,-0.3969,-0.5399,-0.2644,0.3237,-0.3497,0.0201,-0.3159,-0.3753,0.4936,-0.4861,0.2176,-0.2576,-0.5831,-0.5172,-0.2736,0.1051,0.186,0.1463,-0.2499,-0.4735,-0.4649,-0.4776,-0.5104,-0.3367,-0.4617,-0.3601,-0.3975,0.2961,-0.2512,-0.4633,0.0577,-0.3877,-0.4627,-0.3727,-0.2013,-0.5262,-0.1155,-0.3652,-0.1562,-0.3705,-0.4505,-0.2941,0.5091,-0.2432,-0.1481,-0.371,-0.5007,-0.1655,-0.5064,-0.4151,-0.5032,-0.3644,-0.5133,-0.3754,0.2938,-0.136,-0.4296,0.2969,-0.4426,-0.4029,-0.2252,-0.4264,-0.3909,-0.3772,0.2124,-0.4283,0.1805,-0.3199,-0.073,-0.3102
Solanales,0.6172,0.6142,0.5231,0.4675,0.1614,0.163,0.5339,0.4533,0.2445,0.2829,0.4425,0.5076,0.203,0.2656,0.4722,0.6607,-0.0542,0.2681,0.1133,0.1486,0.0703,0.0333,0.2911,0.3296,0.4254,0.3672,-0.0654,0.6662,0.4977,-0.0721,0.3424,0.6392,0.4761,0.7392,0.1299,0.6258,0.5251,0.8018,0.4891,0.6813,0.2869,0.5629,0.37,0.4172,-0.2192,0.5856,0.0203,-0.0076,0.451,-0.4924,-0.2122,0.7246,0.1203,0.236,0.355,0.4046,-0.3456,0.7016,0.6423,0.1049,-0.0943,0.6729,0.4315,0.3107,0.4249,0.498,0.7081,0.5129,0.5339,0.4768,-0.2913,0.0289,0.4976,-0.0761,-0.1818,-0.0847,0.0352,-0.0259,-0.1584,0.3421,-0.4125,-0.1931,-0.1599,-0.2219,0.3329,0.3036,0.0806,0.4385,0.5739,0.2814,-0.1473,0.5662,-0.1412,-0.3288,-0.3543,-0.4039,-0.5053,0.478,0.1566,0.1629,0.4556,-0.4758,-0.2927,-0.4727,0.7118,-0.3186,-0.2691,-0.388,0.4629,-0.3698,0.0409,-0.3543,-0.3544,0.4218,-0.4971,-0.3729,0.3461,0.261,0.3118,-0.122,0.1648,-0.0315,-0.5391,0.1669,0.6752,-0.3174,0.1609,0.1614,-0.3328,-0.0956,-0.324,-0.4671,-0.2465,0.2679,-0.2551,0.1287,-0.199,-0.3272,0.4595,-0.4873,0.3425,-0.35,-0.5032,-0.4992,-0.2247,0.1499,0.2773,0.0523,-0.3085,-0.5102,-0.4282,-0.4813,-0.4579,-0.3088,-0.4905,-0.3816,-0.3566,0.3085,-0.1858,-0.4275,0.1324,-0.3558,-0.4999,-0.3236,-0.1848,-0.5033,0.0889,-0.4225,-0.2166,-0.3929,-0.4523,-0.3616,0.4177,-0.2654,0.017,-0.4185,-0.5364,-0.198,-0.5149,-0.3987,-0.5151,-0.3546,-0.472,-0.4591,0.3073,-0.1838,-0.4725,0.3067,-0.4386,-0.3476,-0.2321,-0.416,-0.4186,-0.3651,0.2705,-0.4327,0.0048,-0.1845,-0.061,-0.3529
Poales,0.6433,0.6344,0.5675,0.4969,0.2024,0.2004,0.5899,0.5186,0.2833,0.2454,0.4011,0.5951,0.2353,0.2409,0.4662,0.681,-0.1113,0.3787,0.073,0.0906,0.0747,0.0297,0.2047,0.2861,0.411,0.3344,-0.064,0.6648,0.5892,-0.0647,0.3923,0.6631,0.5588,0.6776,0.2299,0.6144,0.5486,0.688,0.4844,0.6565,0.2862,0.5951,0.3323,0.4358,-0.2059,0.5958,0.0401,0.0177,0.5149,-0.5223,-0.2353,0.7237,0.2197,0.2097,0.3519,0.4703,-0.4729,0.6826,0.7147,0.0975,-0.1262,0.6518,0.4879,0.2882,0.4539,0.5649,0.7019,0.5157,0.6255,0.4081,-0.3629,0.073,0.4904,0.0003,-0.1362,0.0356,0.0757,0.1267,-0.0864,0.421,-0.3744,-0.0785,-0.0777,-0.2319,0.3255,0.4084,0.1522,0.5119,0.6737,0.3272,-0.1142,0.5929,-0.1887,-0.3535,-0.4985,-0.3631,-0.5532,0.5606,0.0893,0.2389,0.4933,-0.4768,-0.3635,-0.4502,0.6524,-0.2702,-0.2751,-0.3918,0.5492,-0.245,0.0657,-0.3528,-0.3594,0.3292,-0.4656,-0.3522,0.2907,0.3402,0.3019,-0.047,0.122,-0.0043,-0.513,0.2204,0.643,-0.2234,0.1715,0.1516,-0.2939,-0.0757,-0.3084,-0.4306,-0.1997,0.3293,-0.3076,0.0914,-0.1617,-0.3296,0.5462,-0.477,0.2662,-0.1933,-0.4747,-0.4937,-0.2282,0.1545,0.2664,0.1639,-0.3235,-0.5233,-0.53,-0.4837,-0.4689,-0.4002,-0.4997,-0.4331,-0.4331,0.3356,-0.1837,-0.374,0.1043,-0.4311,-0.6017,-0.325,-0.1859,-0.4789,-0.0108,-0.444,-0.105,-0.4317,-0.5403,-0.3632,0.4967,-0.264,-0.0112,-0.4683,-0.5653,-0.2015,-0.5688,-0.3284,-0.5543,-0.4186,-0.489,-0.4796,0.2911,-0.1734,-0.5209,0.3514,-0.4397,-0.3922,-0.227,-0.4985,-0.4835,-0.4168,0.1511,-0.503,0.1089,-0.2706,-0.0894,-0.383
Ostreoida,0.6181,0.5575,0.3964,0.484,0.1822,0.2278,0.3691,0.4367,0.3436,0.2918,0.2986,0.4355,0.1854,0.2895,0.2589,0.6073,0.0342,0.3784,0.1599,0.1963,0.1193,0.0335,0.4495,0.3973,0.4018,0.2347,-0.0452,0.638,0.4033,-0.1758,0.3789,0.5987,0.4179,0.5125,0.2103,0.5133,0.4341,0.5197,0.5095,0.4297,0.2722,0.3942,0.2375,0.3801,-0.2477,0.5395,0.0771,0.073,0.4345,-0.3596,-0.2248,0.5389,0.1475,0.2857,0.413,0.5475,-0.2515,0.5397,0.5667,0.0967,0.0558,0.4964,0.4564,0.1151,0.2348,0.4868,0.4231,0.5109,0.4261,0.2663,-0.2488,-0.103,0.4692,0.042,-0.1569,-0.0725,0.0621,0.08,-0.1988,0.4048,-0.2776,-0.2028,-0.1656,-0.2209,0.2696,0.2968,0.1539,0.2837,0.3924,0.1377,-0.0422,0.4649,0.0234,-0.1891,-0.1455,-0.2097,-0.4066,0.445,0.0789,0.1631,0.338,-0.3869,-0.0994,-0.3199,0.5348,-0.3156,-0.284,-0.1562,0.4209,-0.2859,0.0734,-0.2695,-0.2862,0.0559,-0.3905,-0.3707,0.0973,0.215,0.1413,-0.0502,0.1878,0.0793,-0.3916,0.1827,0.4999,-0.2459,0.1313,-0.0698,-0.2582,-0.0944,-0.424,-0.3864,-0.2208,0.2329,-0.3001,0.1073,-0.2086,-0.2892,0.4043,-0.413,0.0872,-0.3858,-0.4972,-0.4166,-0.1376,-0.0259,0.2066,0.0805,-0.0924,-0.3551,-0.3627,-0.3977,-0.5259,-0.2108,-0.3534,-0.2739,-0.2058,0.1117,-0.054,-0.4276,0.0141,-0.224,-0.2279,-0.2742,-0.0073,-0.4264,-0.1091,-0.2787,-0.1859,-0.2908,-0.3609,-0.1896,0.4347,-0.198,-0.2424,-0.2351,-0.3497,-0.0796,-0.3121,-0.3214,-0.3472,-0.3279,-0.3983,-0.3374,0.1392,-0.198,-0.2622,0.0406,-0.4085,-0.1717,-0.1682,-0.3626,-0.2393,-0.322,0.1592,-0.2748,0.0035,-0.2267,-0.1315,-0.2365
Galliformes,0.5549,0.5361,0.3649,0.4257,0.2116,0.1054,0.4276,0.3039,0.2837,0.231,0.3342,0.3884,0.1562,0.2066,0.3033,0.5734,-0.0558,0.277,0.135,0.1446,0.1026,0.1748,0.2556,0.3061,0.3341,0.2203,0.0681,0.5658,0.3967,-0.0659,0.3122,0.5324,0.4003,0.5289,0.0599,0.4657,0.4125,0.5719,0.3628,0.4629,0.1476,0.4116,0.2716,0.3399,-0.0983,0.4054,0.069,0.0554,0.3433,-0.3362,-0.0853,0.5603,0.0659,0.1086,0.2115,0.2687,-0.2948,0.5257,0.5649,-0.051,-0.091,0.4943,0.3475,0.1925,0.2511,0.3688,0.6087,0.3363,0.3816,0.387,-0.2108,0.0399,0.4679,-0.0701,-0.1616,-0.0807,0.0452,0.0725,-0.1336,0.2941,-0.3012,-0.0228,-0.0622,-0.2119,0.1201,0.1781,0.0145,0.4435,0.4072,0.1121,0.0411,0.479,-0.0914,-0.2487,-0.2917,-0.3395,-0.3262,0.3244,0.1093,0.0523,0.3791,-0.2907,-0.2365,-0.3349,0.5333,-0.3312,-0.1102,-0.2718,0.4288,-0.2977,0.1165,-0.2216,-0.3379,0.4007,-0.3677,-0.174,0.2854,0.216,0.1307,-0.0646,0.1994,-0.1343,-0.4132,0.1588,0.5215,-0.1255,0.0421,0.1618,-0.1525,-0.1736,-0.1826,-0.276,-0.234,0.1664,-0.1318,0.147,-0.059,-0.1812,0.4209,-0.3808,0.2454,-0.1607,-0.3506,-0.3877,-0.0826,0.0625,0.2747,0.0611,-0.3297,-0.4337,-0.3783,-0.3464,-0.3693,-0.2848,-0.3891,-0.3332,-0.3276,0.2881,0.0132,-0.3607,0.0996,-0.3138,-0.4441,-0.1785,-0.0877,-0.3792,0.0649,-0.3319,-0.2007,-0.3292,-0.3859,-0.3497,0.3414,-0.2102,-0.0129,-0.427,-0.4909,-0.2584,-0.4608,-0.3021,-0.4148,-0.3602,-0.3986,-0.47,0.2359,-0.2411,-0.4112,0.2489,-0.3685,-0.3088,-0.2368,-0.4326,-0.4046,-0.2993,0.2443,-0.3916,-0.0413,0.0015,-0.0964,-0.2908
Perciformes,0.651,0.5372,0.4846,0.4876,0.3227,0.2392,0.5797,0.4204,0.2583,0.3998,0.422,0.4493,0.2152,0.3904,0.4567,0.6699,0.1432,0.338,0.1553,0.2002,0.1495,0.1385,0.3083,0.3869,0.4595,0.4231,-0.1658,0.6584,0.5251,-0.0328,0.5193,0.6679,0.4673,0.6401,0.1118,0.5816,0.6026,0.755,0.4421,0.5802,0.4864,0.6462,0.3411,0.4265,-0.3128,0.6177,-0.0813,0.1204,0.5095,-0.5083,-0.4118,0.7426,0.167,0.2915,0.4555,0.5035,-0.4188,0.6375,0.6611,-0.0938,-0.2046,0.6278,0.5777,0.1924,0.4471,0.5391,0.724,0.6701,0.5759,0.291,-0.4296,0.109,0.3952,-0.1947,-0.3108,-0.1459,-0.0923,-0.0725,-0.2404,0.4528,-0.4556,-0.0797,-0.2999,-0.3976,0.2197,0.2383,-0.0449,0.3492,0.5538,0.2377,0.0252,0.4986,-0.1858,-0.4461,-0.3606,-0.4364,-0.4828,0.5345,0.109,0.0342,0.5358,-0.5291,-0.3894,-0.4984,0.8069,-0.4116,-0.3949,-0.4342,0.4314,-0.305,-0.1117,-0.4017,-0.3894,0.4738,-0.4603,-0.3841,0.1393,0.1706,0.2514,-0.1392,0.0636,0.0237,-0.5482,0.2206,0.7792,-0.3012,0.0712,0.1056,-0.1957,-0.0534,-0.1501,-0.4961,-0.2425,0.3188,-0.1192,0.1058,-0.2477,-0.3162,0.4068,-0.4663,0.2215,-0.2304,-0.4813,-0.5138,-0.2831,0.041,0.2241,-0.0034,-0.1972,-0.4782,-0.4673,-0.4874,-0.377,-0.3867,-0.485,-0.3718,-0.2234,0.179,-0.2288,-0.3778,0.0682,-0.2349,-0.4869,-0.2464,-0.1738,-0.445,-0.1429,-0.2509,-0.1624,-0.2585,-0.405,-0.3388,0.4659,-0.2412,-0.0457,-0.386,-0.4764,-0.141,-0.479,-0.366,-0.4939,-0.2288,-0.4344,-0.2633,0.3034,-0.1309,-0.407,0.3782,-0.3562,-0.3583,-0.2498,-0.2742,-0.3942,-0.3807,0.0653,-0.434,0.0637,-0.2433,-0.1017,-0.211
Fabales,0.6083,0.5651,0.4379,0.4684,0.204,0.2322,0.5272,0.3291,0.2877,0.2502,0.3092,0.4092,0.2611,0.3463,0.4522,0.6518,0.0535,0.3616,0.1488,0.1397,0.0783,0.1833,0.3672,0.4237,0.4086,0.3909,-0.0148,0.6206,0.4306,-0.1154,0.414,0.6225,0.4072,0.6424,0.2017,0.5711,0.4896,0.7723,0.437,0.5284,0.467,0.6044,0.257,0.4316,-0.1359,0.5332,0.1392,0.0617,0.4498,-0.4358,-0.2677,0.7323,0.221,0.2197,0.4157,0.4492,-0.4085,0.6765,0.5868,0.1247,-0.0764,0.6074,0.5051,0.1043,0.3384,0.505,0.6395,0.592,0.4912,0.3051,-0.4315,0.0251,0.5273,0.0388,-0.1488,0.0172,0.0134,0.1285,-0.0398,0.3091,-0.3888,-0.0409,-0.1409,-0.2207,0.137,0.2016,0.2053,0.3654,0.4962,0.1457,-0.0487,0.4682,-0.0949,-0.4091,-0.3851,-0.4633,-0.4293,0.436,0.083,0.1613,0.4371,-0.483,-0.3962,-0.4592,0.7517,-0.3198,-0.2556,-0.451,0.42,-0.2804,0.0429,-0.4234,-0.4516,0.3895,-0.4691,-0.3259,0.2133,0.2209,0.2674,-0.0368,0.1805,-0.0181,-0.4801,0.1006,0.7355,-0.1892,0.065,0.1343,-0.1992,-0.1725,-0.2212,-0.3956,-0.2153,0.2528,-0.1992,0.1397,-0.1064,-0.2972,0.3908,-0.4524,0.2304,-0.2194,-0.43,-0.4613,-0.1515,0.0567,0.24,0.1014,-0.2914,-0.5234,-0.496,-0.5105,-0.3487,-0.4279,-0.5592,-0.3879,-0.2535,0.1688,-0.1116,-0.3436,0.0932,-0.2408,-0.5146,-0.227,-0.1576,-0.3941,0.0226,-0.3306,-0.2251,-0.2559,-0.5048,-0.3744,0.3967,-0.2214,0.0045,-0.4314,-0.5073,-0.0748,-0.5583,-0.3152,-0.5461,-0.2403,-0.416,-0.3258,0.2574,-0.0707,-0.4604,0.3346,-0.3149,-0.3633,-0.2244,-0.3142,-0.4935,-0.4579,0.1715,-0.4792,-0.0336,-0.155,-0.1175,-0.2549
Cypriniformes,0.7043,0.6254,0.4955,0.5639,0.3634,0.3312,0.588,0.4811,0.4699,0.4803,0.4481,0.3556,0.3681,0.6196,0.4738,0.7555,0.0622,0.4893,0.3494,0.3382,0.24,0.2841,0.4099,0.5905,0.6097,0.551,-0.1056,0.7107,0.4064,-0.028,0.3429,0.7147,0.3879,0.6936,0.2769,0.6111,0.5384,0.8201,0.5189,0.4933,0.625,0.7165,0.4726,0.3493,-0.2277,0.6405,0.1833,0.2824,0.4873,-0.5397,-0.363,0.7498,0.2274,0.3938,0.5193,0.5586,-0.3827,0.7177,0.6062,0.1933,-0.1512,0.7065,0.4287,0.1401,0.4275,0.6085,0.7251,0.7199,0.5215,0.2016,-0.4135,-0.1001,0.5376,0.0713,-0.1579,-0.0506,-0.0755,0.1683,-0.1087,0.2322,-0.3633,-0.2029,-0.2393,-0.1919,0.0059,0.217,0.2384,0.345,0.5231,0.0429,-0.0349,0.4911,-0.1567,-0.3484,-0.2821,-0.4546,-0.4936,0.508,0.026,0.135,0.3549,-0.5207,-0.3138,-0.4513,0.8711,-0.4137,-0.367,-0.3542,0.4559,-0.3721,0.0332,-0.4262,-0.404,0.3462,-0.4752,-0.4932,0.0945,0.1305,0.2674,-0.0663,0.1039,0.0344,-0.5796,0.1037,0.8785,-0.3207,-0.0164,0.009,-0.2625,-0.1185,-0.2898,-0.4221,-0.1609,0.23,-0.2356,0.1941,-0.1069,-0.4541,0.4094,-0.4686,0.0595,-0.4594,-0.4648,-0.5029,-0.2275,0.0315,0.1916,-0.0439,-0.3801,-0.4413,-0.447,-0.499,-0.4178,-0.3132,-0.49,-0.3062,-0.2847,0.0923,-0.1126,-0.4598,-0.0881,-0.2967,-0.4048,-0.2241,-0.0607,-0.523,-0.1666,-0.2841,-0.3017,-0.3613,-0.4208,-0.24,0.4706,-0.2206,-0.1124,-0.3047,-0.4627,-0.0149,-0.4161,-0.4289,-0.428,-0.2419,-0.4735,-0.3146,0.2035,-0.1255,-0.3737,0.2865,-0.3897,-0.4659,-0.2917,-0.3214,-0.3282,-0.3494,0.135,-0.2878,-0.0927,-0.2143,0.0443,-0.1858
Accipitriformes,0.6726,0.5979,0.4638,0.5348,0.2941,0.253,0.5558,0.44,0.4142,0.4297,0.4014,0.4485,0.2543,0.5199,0.472,0.7092,0.0257,0.4544,0.3356,0.2862,0.2108,0.1763,0.4258,0.5568,0.5788,0.4427,-0.0976,0.6964,0.4268,-0.0305,0.3885,0.68,0.391,0.6701,0.2207,0.6288,0.5508,0.828,0.5488,0.5347,0.4794,0.6642,0.4356,0.423,-0.2085,0.6494,0.1136,0.2325,0.52,-0.522,-0.2478,0.7553,0.1932,0.3452,0.4346,0.5277,-0.349,0.7014,0.6249,0.1159,-0.1282,0.6694,0.4577,0.1486,0.3689,0.5129,0.7184,0.6434,0.4853,0.2501,-0.3706,-0.0801,0.5653,0.0769,-0.1504,-0.0258,-0.0146,0.1541,-0.1121,0.3231,-0.3717,-0.2088,-0.1797,-0.2053,0.1124,0.2258,0.1989,0.3995,0.455,0.123,0.0505,0.535,-0.1129,-0.3333,-0.2674,-0.3927,-0.4847,0.4342,0.036,0.121,0.3983,-0.4348,-0.2976,-0.4339,0.8373,-0.4376,-0.259,-0.3209,0.4339,-0.3558,0.1019,-0.3527,-0.3697,0.4274,-0.4498,-0.357,0.1978,0.1849,0.2428,-0.0288,0.1325,0.0022,-0.5879,0.1211,0.8298,-0.237,0.0344,0.1018,-0.2841,-0.1484,-0.3255,-0.3692,-0.2538,0.2086,-0.2376,0.2134,-0.1612,-0.3933,0.4021,-0.4457,0.1437,-0.3381,-0.4575,-0.506,-0.1719,0.0548,0.1957,0.0306,-0.3779,-0.4546,-0.4258,-0.4473,-0.4575,-0.3173,-0.477,-0.3249,-0.3849,0.2058,-0.129,-0.4791,0.0331,-0.3617,-0.4362,-0.3021,-0.0194,-0.5159,-0.0403,-0.3618,-0.2803,-0.4099,-0.4322,-0.3071,0.4115,-0.1716,-0.0684,-0.3687,-0.5248,-0.1438,-0.4791,-0.4295,-0.465,-0.3398,-0.5213,-0.4483,0.2751,-0.1892,-0.4059,0.3252,-0.4508,-0.4407,-0.2777,-0.4602,-0.3782,-0.3464,0.2036,-0.3536,-0.0507,-0.1231,-0.0064,-0.2689
