SAM id,SAM id,Samples IDs,Collection Date,Location3,Location2,Location,Location_FC,Location_FC2,Sample received,MUX ID,"Previous sampled ID for reference
(To GIS: Please replace the IDs in column B with those in column C) ","New sample ID
(To GIS: Please replace the IDs in column B with those in column C)",Qubit ng/uL,Tapestation ng/uL,Sample Name,"Sector ID
(approximate geolocation)",Date of sample collected,Day,Month ,Year,Premise Type,Total Aerobic Plate Count (CFU/g),Coliforms (CFU/g),Collection Round,Tapestation ng/uL.1,Collection Set,Location_cluster,Location_cluster2,cohort
WEM361,WEM361,Tables 1 (MEWR/GIS001),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS001,P1/GIS001,18.1,,Table 1,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,Less than 100,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM362,WEM362,Tables 2 (MEWR/GIS002),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS002,P1/GIS002,15.3,,Table 2,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,1800000,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM363,WEM363,Tables 3 (MEWR/GIS003),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS003,P1/GIS003,34.2,,Table 3,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,Less than 100,20,1,,1,2.0,2.0,Hawker Centre
WEM364,WEM364,Tables 4 (MEWR/GIS004),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS004,P1/GIS004,8.5,,Table 4,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,1700,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM365,WEM365,Tables 5 (MEWR/GIS005),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS005,P1/GIS005,23.4,,Table 5,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,5000,20,1,,1,2.0,2.0,Hawker Centre
WEM366,WEM366,Tables 6 (MEWR/GIS006),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS006,P1/GIS006,37.4,,Table 6,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,29000,30,1,,1,2.0,2.0,Hawker Centre
WEM367,WEM367,Tables 7 (MEWR/GIS007),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS007,P1/GIS007,14.2,,Table 7,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,Less than 100,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM368,WEM368,Tables 8  (MEWR/GIS008),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS008,P1/GIS008,8.9,,Table 8,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,4400,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM369,WEM369,Tables 9  (MEWR/GIS009),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS009,P1/GIS009,39.8,,Table 9,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,4900,50,1,,1,2.0,2.0,Hawker Centre
WEM370,WEM370,Tables 10 (MEWR/GIS010),20/12/2018,HC_A,MEWR,MEWR_A,FC_H,H,20/12/2018,MUX10898,MEWR/GIS010,P1/GIS010,21.5,,Table 10,28.0,2018-12-20 00:00:00,20.0,12.0,2018.0,Hawker Centre,14000,10,1,,1,2.0,2.0,Hawker Centre
WEM371,WEM371,Tables 1 (MEWR/GIS011),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS011,P1/GIS011,14.5,,Table 1,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,Less than 100,Less than 10,1,,1,4.0,4.0,Hawker Centre
WEM372,WEM372,Tables 3 (MEWR/GIS013),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS013,P1/GIS013,12.9,,Table 3,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,800,80,1,,1,4.0,4.0,Hawker Centre
WEM373,WEM373,Tables 4 (MEWR/GIS014),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS014,P1/GIS014,13.6,,Table 4,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,100,10,1,,1,4.0,4.0,Hawker Centre
WEM374,WEM374,Tables 5 (MEWR/GIS015),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS015,P1/GIS015,29.5,,Table 5,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,4000,Less than 10,1,,1,4.0,4.0,Hawker Centre
WEM375,WEM375,Tables 6 (MEWR/GIS016),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS016,P1/GIS016,6.2,,Table 6,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,3000,Less than 10,1,,1,4.0,4.0,Hawker Centre
WEM376,WEM376,Tables 7 (MEWR/GIS017),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS017,P1/GIS017,20.3,,Table 7,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,Less than 100,Less than 10,1,,1,4.0,4.0,Hawker Centre
